model_response,skill,ground_truth,reasoning_ground_truth,image
A,['inductive'],C,"The dot is constantly found in each of the three sequences but the square moves one square each time (to the right or left). In the third sequence, we can see that the square moves to the right, leading to the conclusion that the missing figure is found in answer C.",./images/v1_0.png
A,['inductive'],"A, C","It is possible to establish very quickly that the green category diagrams all have an X in their center. This information is sufficient to separate the two categories and thus solve the exercise. Diagrams A and C therefore belong to the green category, whilst diagrams B and D belong to the grey category.",./images/v1_1.png
"B, D",['inductive'],"B, D","The small square is replaced by a large square split in half, the bottom half of which is colored black (final figure number 1): Final figure number 2 designates a small square, the bottom half of which is also colored. For both the two basic figures, the lower part of the figure has therefore been colored black whereas the size has only been modified for the basic figure number 1. Since the common function figure is the hourglass, it can be deduced that its function is to color the lower half in black. Therefore, the diamond function must change the shape size. Consequently, the correct answer regarding the basic figure's appearance is answer D: the basic figure is a white circle. The function figure is that of the hourglass, whose function is to color the bottom half of the figure in black. Indeed, the final figure in D is a circle whose bottom half is colored black. Regarding the functional figure, the correct answer is answer B: the basic figure is a small white circle whereas the final figure is a large circle. This is a result of the diamond figure; whose function is to enlarge the shape.",./images/v1_2.png
A,['inductive'],D,"In this example, there are two rules to be applied. The first is that the circle moves counter-clockwise in the hexagon. It follows that, in the following diagram, the circle will be in the upper corner of the hexagon, pointing to D as the answer. To confirm this, the second rule can be applied, according to which the position of the black triangle alternates between bottom left and top right. Thus, in the following diagram, the black triangle will need to be in the upper right corner of the hex. The answer is therefore definitely D.",./images/v1_3.png
The correct answer is: G,['inductive'],G,Element G constitutes the exception and is therefore the correct answer.,./images/v1_4.png
B,['inductive'],"B, D","In this example, it is easy to see that the rule governing the two grids on the left is: blue triangles are present in each of the two bottom lines. This rule is followed in the two grids on the right.",./images/v1_5.png
B,['inductive'],B,"The first thing you can identify is that the triangle is alternatively flipping vertically, ruling out C and D. The only difference between A and B is the size of the square. To maintain a sequential pattern, B must be correct: the square grows in size and then shrinks as it progresses along the sequence.",./images/v1_6.png
E,['inductive'],E,"The simple rule in this question is that the number of grey arrows in the box below must equal the number of black shaded shapes in the box above. There are three grey arrows below the missing box, so the correct answer must contain three black shapes.",./images/v1_7.png
A,['inductive'],A,"The arrows change direction from pointing up, to down, to right, then to left with each turn. Circles increase by one with each turn. In the fifth box the arrow is pointing up and there are five circles, so the next box must have the arrow pointing down, and have six circles.",./images/v1_8.png
A,['inductive'],C,"Triangle alternates from pointing up, to pointing right with each turn. Doughnut shape alternates from left corner to right corner with each turn.",./images/v1_9.png
The correct answer is: E,['inductive'],E,Line alternates from being diagonal to vertical with each turn. Square moves in an anticlockwise direction around the frame with each turn.,./images/v1_10.png
The correct answer is: E,['inductive'],E,Triangle alternates by 90 degrees with each turn. Triangle alternates from shaded to unshaded with each turn.,./images/v1_11.png
B,['inductive'],B,"Circle in top left segment for one frame, then omitted for the following two frames, with each turn. Small triangle alternates from upper triangular segment to lower triangular segment with each turn.",./images/v1_12.png
The correct answer is: D,['inductive'],D,Doughnut shapes move in a clockwise direction with each alternate turn. Squares move in a clockwise direction with each alternate turn.,./images/v1_13.png
A,['inductive'],A,Square moves in an anti-clockwise direction with each alternate turn. Three-quarter circle rotates by 45 degrees with each turn. Half circle moves in an anti-clockwise direction with each turn.,./images/v1_14.png
B,['inductive'],B,Shapes are not in a set position within the frame. It is merely the presence and number of shapes that are important for this sequence. With every turn there are always three squares. With every turn there are always two diamonds. With every turn there is always one circle.,./images/v1_15.png
The correct answer is: E,['inductive'],E,"Line changes with each turn from diagonal, to vertical, to the inverse diagonal, and then to horizontal. Dot moves from top right corner, to intersect with the middle line, to the bottom left corner with each turn. Triangle moves around the frame corners in an anti-clockwise direction with each turn.",./images/v1_16.png
