original_prompt,optimized_prompt,optimized_prompt_ExP_CoT,answer_optimized_Exp_CoT,answer_original,answer_optimized,skill,ground_truth,reasoning,image
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""","You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The correct answer is: A, B, C, or D.",The correct answer is D.,"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The correct answer is: A, B, C, or D.",['inductive'],C,"The dot is constantly found in each of the three sequences but the square moves one square each time (to the right or left). In the third sequence, we can see that the square moves to the right, leading to the conclusion that the missing figure is found in answer C.",./images/v1_0.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choices in the image (A-D) belong to the green category?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choices in the image (A-D) belong to the green category?
""""""","Let's think step-by-step. In the image, there are four choices (A-D) and one green dot. To determine which choices belong to the green category, we need to look for the green dot and identify which choices are connected to it.

First, we can see that the green dot is located in the top-left corner of the image. Now, let's examine the choices (A-D) and their connections to the green dot.

Choice A is located in the top-left corner, and it is connected to the green dot. Choice B is located in the top-right corner, and it is connected to the green dot. Choice C is located in the bottom-left corner, and it is connected to the green dot. Choice D is located in the bottom-right corner, and it is connected to the green dot.

Based on the image and the connections between the choices and the green dot, the correct answer is: A, B, C, and D.","In the image, the green category consists of the letters A, B, C, and D. These letters are located in the top row of the grid, which is the row with the green dot. The other rows in the grid have different colors, and the letters in those rows do not belong to the green category.","The correct answer is: D.

In the image, there are four choices (A-D) displayed. The green category is represented by the number 3. Therefore, the choice that belongs to the green category is D.",['inductive'],"A, C","It is possible to establish very quickly that the green category diagrams all have an X in their center. This information is sufficient to separate the two categories and thus solve the exercise. Diagrams A and C therefore belong to the green category, whilst diagrams B and D belong to the grey category.",./images/v1_1.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""","Let's think step-by-step. The diagram at the top of the page shows four proposals, A, B, C, and D. To complete the diagrams at the bottom of the page, we need to find the two proposals that are connected by a straight line.

First, let's look at the diagrams at the bottom of the page. We can see that there are four circles, one for each proposal. Now, let's examine the connections between the circles.

There are two straight lines connecting the circles, one between proposal A and proposal B, and another between proposal C and proposal D. Therefore, the correct answer is: A and B.","Based on the diagram at the top of the page, the proposals A and B complete the diagrams at the bottom of the page.","Let's think step-by-step.

The image shows a diagram with four proposals A, B, C, and D. The question asks which two of these proposals complete the diagrams at the bottom of the page.

To answer this question, we need to examine the diagrams at the bottom of the page and determine which two proposals are required to complete them.

Looking at the diagrams, we can see that they consist of various shapes, including circles and squares. We need to identify which shapes are missing from the diagrams and which proposals can provide those shapes.

Proposal A has a square, proposal B has a circle, proposal C has a square, and proposal D has a circle.

Based on the shapes missing from the diagrams, we can determine that proposal B and proposal C are the two proposals that complete the diagrams.

The correct answer is: B and C.",['inductive'],"B, D","The small square is replaced by a large square split in half, the bottom half of which is colored black (final figure number 1): Final figure number 2 designates a small square, the bottom half of which is also colored. For both the two basic figures, the lower part of the figure has therefore been colored black whereas the size has only been modified for the basic figure number 1. Since the common function figure is the hourglass, it can be deduced that its function is to color the lower half in black. Therefore, the diamond function must change the shape size. Consequently, the correct answer regarding the basic figure's appearance is answer D: the basic figure is a white circle. The function figure is that of the hourglass, whose function is to color the bottom half of the figure in black. Indeed, the final figure in D is a circle whose bottom half is colored black. Regarding the functional figure, the correct answer is answer B: the basic figure is a small white circle whereas the final figure is a large circle. This is a result of the diamond figure; whose function is to enlarge the shape.",./images/v1_2.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""","Let's think step-by-step. You are shown an image with four shapes, each with a different number of sides. The shapes are labeled A, B, C, and D. You are asked to choose the shape that completes the series. To answer this question, you need to analyze the shapes and identify any patterns or similarities between them.

First, let's examine the shapes:
- Shape A has 4 sides.
- Shape B has 5 sides.
- Shape C has 6 sides.
- Shape D has 7 sides.

Based on the pattern observed, the next shape in the series should have 8 sides. Therefore, the correct answer is: D.","The image shows two blue hexagons with a letter ""C"" in the middle. To complete the series, the next hexagon should also have a letter ""C"" in the middle. Therefore, the correct answer is ""C"".","You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The correct answer is: C.",['inductive'],D,"In this example, there are two rules to be applied. The first is that the circle moves counter-clockwise in the hexagon. It follows that, in the following diagram, the circle will be in the upper corner of the hexagon, pointing to D as the answer. To confirm this, the second rule can be applied, according to which the position of the black triangle alternates between bottom left and top right. Thus, in the following diagram, the black triangle will need to be in the upper right corner of the hex. The answer is therefore definitely D.",./images/v1_3.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Who is the odd-one-out? Select answers from A-I
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Who is the odd-one-out? Select answers from A-I
""""""","Let's think step-by-step. The image shows a series of squares, each with a different shape. The question asks who is the odd-one-out. To determine this, we need to compare each square's shape to the others.

First, we have square A, which is a square. Next, square B is a rectangle. Square C is a square as well. Square D is a square, and square E is a square. Square F is a square, and square G is a square. Finally, square H is a square.

Comparing the shapes, we can see that square B is the odd-one-out because it is a rectangle, while all the other squares are squares.

The correct answer is: B.","The odd-one-out is the black square. The other squares are white, while the black square stands out as the only one with a different color.","You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The correct answer is: A, B, C, D, E, F, G, H, I.

Let's think step-by-step:

1. Look at the image and identify the shape that is different from the other shapes.
2. Identify the shape that is different from the other shapes and determine which letter corresponds to it.
3. Check the letters A-I to see which one does not match the shape you identified in step 2.

The correct answer is: A, B, C, D, E, F, G, H, I.",['inductive'],G,Element G constitutes the exception and is therefore the correct answer.,./images/v1_4.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""","Let's think step-by-step. You are presented with two grids containing colored symbols and a common rule. In the block on the right, four additional grids are presented. Your task is to find the two grids that follow the same rule out of these four options (A, B, C, or D).

To solve this problem, you should first carefully examine the symbols and the common rule in each of the six grids. Pay attention to the patterns and colors of the symbols, as well as any other relevant information. Once you have identified the common rule, you can compare the grids to determine which two of them follow the same rule.

The correct answer is: A and B.",The two grids that follow the same rule are A and B.,"You are presented with two grids containing colored symbols and following a common rule. In the block on the right, four additional grids are presented. The task is to find the two grids that follow the same rule out of these four options (A, B, C, or D).

To solve this problem, you should first carefully examine the grids and identify the common rule they follow. Once you have identified the rule, you can then compare the four additional grids to determine which two of them also follow the same rule.

The correct answer is: A and B.",['inductive'],"B, D","In this example, it is easy to see that the rule governing the two grids on the left is: blue triangles are present in each of the two bottom lines. This rule is followed in the two grids on the right.",./images/v1_5.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""","The correct answer is: D.

To identify the pattern, we need to analyze the given images and look for any commonalities or differences. In the image, there are four squares with different shapes and sizes. The pattern seems to be that each square has a unique shape and size.

Based on this pattern, the missing image should also have a unique shape and size. Therefore, the correct answer is D, which is the only option that has a distinct shape and size compared to the other options.","The image shows a series of blue squares with numbers in them, arranged in a grid. The pattern suggests that the numbers are related to the blue squares, and the missing square is likely to have a blue square with a number in it. Based on the pattern, the missing square should be a blue square with the number 6 in it. The correct answer is D.","The correct answer is: D.

In the image, there are four different shapes: a triangle, a square, a circle, and a rectangle. The pattern suggests that the next shape should be a shape that is not already present in the sequence. The only shape that is not present in the sequence is a diamond. Therefore, the answer is D.",['inductive'],B,"The first thing you can identify is that the triangle is alternatively flipping vertically, ruling out C and D. The only difference between A and B is the size of the square. To maintain a sequential pattern, B must be correct: the square grows in size and then shrinks as it progresses along the sequence.",./images/v1_6.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""","You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.

The correct answer is: A, B, C, D, E, F.","The bottom boxes create a rule that has to be applied in the box directly above them. The rule is that the boxes in the row above the bottom row have to be filled with the same number of black squares as the number of black squares in the corresponding box in the bottom row.

For example, in the bottom row, the leftmost box has 3 black squares, so the box directly above it in the row above should also have 3 black squares. Similarly, the rightmost box in the bottom row has 2 black squares, so the box directly above it should also have 2 black squares.

Based on this rule, the correct answer is F.","You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.

The correct answer is: A, B, C, D, E, F.",['inductive'],E,"The simple rule in this question is that the number of grey arrows in the box below must equal the number of black shaded shapes in the box above. There are three grey arrows below the missing box, so the correct answer must contain three black shapes.",./images/v1_7.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""","Let's think step-by-step. The image shows a sequence of boxes with arrows pointing to the next box. The first box has an arrow pointing to the second box, the second box has an arrow pointing to the third box, and so on. To determine which box comes next in the sequence, we need to follow the arrows and identify the pattern.

The arrows are pointing to the right, and the boxes are arranged in a diagonal line. The pattern suggests that the next box in the sequence will be the one that is two boxes to the right and one box down from the current box.

The correct answer is: E.",The next box in the sequence would be C.,"Let's think step-by-step.

We are given a sequence of boxes with arrows pointing to the next box. The boxes have different numbers of dots in them. The question asks which box comes next in the sequence.

To answer this question, we need to identify the pattern in the sequence. We can observe that the boxes with more dots have arrows pointing to them from the boxes with fewer dots. This suggests that the pattern is to move from boxes with fewer dots to boxes with more dots.

Now, let's look at the boxes:
A: 1 dot
B: 2 dots
C: 3 dots
D: 4 dots
E: 5 dots

Based on the pattern we identified, the next box in the sequence should have 6 dots. However, there is no box with 6 dots in the given options. This means that the sequence might be incomplete or there is an error in the given sequence.

The correct answer is: E.",['inductive'],A,"The arrows change direction from pointing up, to down, to right, then to left with each turn. Circles increase by one with each turn. In the fifth box the arrow is pointing up and there are five circles, so the next box must have the arrow pointing down, and have six circles.",./images/v1_8.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""","Let's think step-by-step. The image shows a sequence of six black and white triangles, each with a circle in the middle. The first triangle is at the top left, and the second triangle is to the right of the first one. The third triangle is below the second triangle, and the fourth triangle is to the right of the third one. The fifth triangle is below the fourth triangle, and the sixth triangle is to the right of the fifth one.

To determine which box comes next in the sequence, we need to look at the pattern of the triangles. The pattern is that each triangle is positioned to the right of the previous triangle, and each triangle is rotated 45 degrees.

Based on this pattern, the next triangle in the sequence would be the one that is rotated 45 degrees from the fifth triangle, which is located below the fourth triangle. Therefore, the correct answer is E.",The next box in the sequence would be C.,"The image shows a sequence of six black and white triangles, each with a circle in the middle. The triangles are arranged in a row, with the first triangle pointing upwards and the subsequent triangles pointing downwards.

To determine the next triangle in the sequence, we can observe that the triangles are arranged in a pattern where each triangle points downwards compared to the one before it. Therefore, the next triangle in the sequence will point downwards as well.

The correct answer is: E.",['inductive'],C,"Triangle alternates from pointing up, to pointing right with each turn. Doughnut shape alternates from left corner to right corner with each turn.",./images/v1_9.png
