original_prompt,optimized_prompt,optimized_prompt_ExP_CoT,answer_optimized_Exp_CoT,answer_original,answer_optimized,skill,ground_truth,reasoning,image
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""",B,"Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
What choice (A, B, C, or D) should be in place of the question mark that fits the pattern?
""""""",['inductive'],C,"The dot is constantly found in each of the three sequences but the square moves one square each time (to the right or left). In the third sequence, we can see that the square moves to the right, leading to the conclusion that the missing figure is found in answer C.",../images/v1_0.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choices in the image (A-D) belong to the green category?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choices in the image (A-D) belong to the green category?
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
Which choices in the image (A-D) belong to the green category?
""""""",A,"Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choices in the image (A-D) belong to the green category?
""""""",['inductive'],"A, C","It is possible to establish very quickly that the green category diagrams all have an X in their center. This information is sufficient to separate the two categories and thus solve the exercise. Diagrams A and C therefore belong to the green category, whilst diagrams B and D belong to the grey category.",../images/v1_1.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""",C,"Prompt to optimize:
""""""
Based on the diagram at the top of the page, which two of the proposals A, B, C or D completes the diagrams at the bottom of the page?
""""""",['inductive'],"B, D","The small square is replaced by a large square split in half, the bottom half of which is colored black (final figure number 1): Final figure number 2 designates a small square, the bottom half of which is also colored. For both the two basic figures, the lower part of the figure has therefore been colored black whereas the size has only been modified for the basic figure number 1. Since the common function figure is the hourglass, it can be deduced that its function is to color the lower half in black. Therefore, the diamond function must change the shape size. Consequently, the correct answer regarding the basic figure's appearance is answer D: the basic figure is a white circle. The function figure is that of the hourglass, whose function is to color the bottom half of the figure in black. Indeed, the final figure in D is a circle whose bottom half is colored black. Regarding the functional figure, the correct answer is answer B: the basic figure is a small white circle whereas the final figure is a large circle. This is a result of the diamond figure; whose function is to enlarge the shape.",../images/v1_2.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""",A,"Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which choice (A, B, C, or D) completes the series?
""""""",['inductive'],D,"In this example, there are two rules to be applied. The first is that the circle moves counter-clockwise in the hexagon. It follows that, in the following diagram, the circle will be in the upper corner of the hexagon, pointing to D as the answer. To confirm this, the second rule can be applied, according to which the position of the black triangle alternates between bottom left and top right. Thus, in the following diagram, the black triangle will need to be in the upper right corner of the hex. The answer is therefore definitely D.",../images/v1_3.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Who is the odd-one-out? Select answers from A-I
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Who is the odd-one-out? Select answers from A-I
""""""","Prompt to optimize:
""Who is the odd-one-out? Select answers from A-I
""""""",G,"Prompt to optimize:
""Who is the odd-one-out? Select answers from A-I
""""""",['inductive'],G,Element G constitutes the exception and is therefore the correct answer.,../images/v1_4.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""",B,"Prompt to optimize:
""""""
Two grids containing colored symbols and following a common rule are presented. In the block on the right, four additional grids are presented. The candidate must find the two grids that follow the same rule out of these four options. What options (A, B, C, or D) follow this same rule?
""""""",['inductive'],"B, D","In this example, it is easy to see that the rule governing the two grids on the left is: blue triangles are present in each of the two bottom lines. This rule is followed in the two grids on the right.",../images/v1_5.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""","Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""",D,"Prompt to optimize:
""""""
Identify the pattern and work out which one of the suggested images would complete the sequence. Select answers from A-D
""""""",['inductive'],B,"The first thing you can identify is that the triangle is alternatively flipping vertically, ruling out C and D. The only difference between A and B is the size of the square. To maintain a sequential pattern, B must be correct: the square grows in size and then shrinks as it progresses along the sequence.",../images/v1_6.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""",C,"Prompt to optimize:
""""""
The bottom boxes create a rule that has to be applied in the box directly above them. Select which of options A to F corresponds to the rule below the box with the question mark.
""""""",['inductive'],E,"The simple rule in this question is that the number of grey arrows in the box below must equal the number of black shaded shapes in the box above. There are three grey arrows below the missing box, so the correct answer must contain three black shapes.",../images/v1_7.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""",B,"Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select from A-E
""""""",['inductive'],A,"The arrows change direction from pointing up, to down, to right, then to left with each turn. Circles increase by one with each turn. In the fifth box the arrow is pointing up and there are five circles, so the next box must have the arrow pointing down, and have six circles.",../images/v1_8.png
"You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.","
Your available prompting techniques include, but are not limited to the following:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Imagining three different experts who are discussing the problem at hand. All experts will write down 1 step of their thinking, then share it with the group. Then all experts will go on to the next step, etc. If any expert realises they're wrong at any point then they leave.
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: ""
    ""The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.""


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""","
Your available prompting techniques include Expert Prompting and Chain of Thought, use a combination of both:
- Crafting an expert who is an expert at the given task, by writing a high-quality description about the most capable and suitable agent to answer the instruction in second person perspective.
- Explaining step-by-step how the problem should be tackled, and making sure the model explains step-by-step how it came to the answer. You can do this by adding ""Let's think step-by-step"".
- Making sure all information needed is in the prompt, adding where necessary but making sure the question remains having the same objective.

Output instructions:
You should ONLY return the reformulated prompt. Make sure to include ALL information from the given prompt to reformulate.
After the reasoning phase, the answer must conclude with: 
The correct answer is: X,Y or The correct answer is: X. Where X,Y are respectively the possible solutions.


Prompt to optimize:
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""","Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""",C,"Prompt to optimize:
""""""
You will have to answer a logical reasoning question, you will be shown an image and you will have to answer the multiple choice question related to it.

Input for question:
""""""
Which of the boxes comes next in the sequence? Select answers from A-E
""""""",['inductive'],C,"Triangle alternates from pointing up, to pointing right with each turn. Doughnut shape alternates from left corner to right corner with each turn.",../images/v1_9.png
